year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,5063,Hillary Clinton,Donald J. Trump,2881,21.16%,9936,72.98%
2016,5065,Hillary Clinton,Donald J. Trump,1113,20.43%,4042,74.19%
2016,5067,Hillary Clinton,Donald J. Trump,1583,30.70%,3267,63.36%
2016,5069,Hillary Clinton,Donald J. Trump,15772,60.91%,9250,35.72%
2016,5071,Hillary Clinton,Donald J. Trump,2427,26.64%,6091,66.85%
2016,5073,Hillary Clinton,Donald J. Trump,1032,36.08%,1758,61.47%
2016,5075,Hillary Clinton,Donald J. Trump,1263,22.22%,4064,71.49%
2016,5077,Hillary Clinton,Donald J. Trump,1735,57.34%,1229,40.61%
2016,5079,Hillary Clinton,Donald J. Trump,1252,32.72%,2455,64.17%
2016,5081,Hillary Clinton,Donald J. Trump,1397,26.73%,3605,68.97%
2016,5083,Hillary Clinton,Donald J. Trump,1715,21.65%,5746,72.54%
2016,5085,Hillary Clinton,Donald J. Trump,5664,20.90%,19958,73.65%
2016,5087,Hillary Clinton,Donald J. Trump,1588,23.21%,4928,72.04%
2016,5089,Hillary Clinton,Donald J. Trump,1434,20.18%,5336,75.08%
2016,5091,Hillary Clinton,Donald J. Trump,4273,26.56%,11294,70.19%
2016,5093,Hillary Clinton,Donald J. Trump,5670,42.94%,7061,53.48%
2016,5095,Hillary Clinton,Donald J. Trump,1312,45.49%,1489,51.63%
2016,5097,Hillary Clinton,Donald J. Trump,748,21.02%,2643,74.26%
2016,5099,Hillary Clinton,Donald J. Trump,1157,35.64%,2000,61.61%
2016,5101,Hillary Clinton,Donald J. Trump,699,18.63%,2875,76.61%
2016,5103,Hillary Clinton,Donald J. Trump,4321,43.49%,5351,53.86%
2016,5105,Hillary Clinton,Donald J. Trump,1049,24.36%,3008,69.86%
2016,5107,Hillary Clinton,Donald J. Trump,4310,61.99%,2446,35.18%
2016,5109,Hillary Clinton,Donald J. Trump,685,17.21%,3150,79.13%
2016,5111,Hillary Clinton,Donald J. Trump,1880,24.35%,5502,71.25%
2016,5113,Hillary Clinton,Donald J. Trump,1212,14.72%,6618,80.40%
2016,5115,Hillary Clinton,Donald J. Trump,5000,22.15%,16256,72.03%
2016,5117,Hillary Clinton,Donald J. Trump,814,23.64%,2505,72.74%
2016,5119,Hillary Clinton,Donald J. Trump,89574,56.06%,61257,38.34%
2016,5121,Hillary Clinton,Donald J. Trump,1425,22.34%,4509,70.69%
2016,5123,Hillary Clinton,Donald J. Trump,4031,54.25%,3195,43.00%
2016,5125,Hillary Clinton,Donald J. Trump,13256,25.44%,35863,68.83%
2016,5127,Hillary Clinton,Donald J. Trump,602,17.15%,2731,77.81%
2016,5129,Hillary Clinton,Donald J. Trump,601,16.12%,2955,79.27%
2016,5131,Hillary Clinton,Donald J. Trump,12300,27.56%,29127,65.25%
2016,5133,Hillary Clinton,Donald J. Trump,1075,23.56%,3282,71.94%
2016,5135,Hillary Clinton,Donald J. Trump,1472,20.31%,5407,74.59%
2016,5137,Hillary Clinton,Donald J. Trump,1203,21.41%,4113,73.21%
2016,5139,Hillary Clinton,Donald J. Trump,5855,34.66%,10456,61.89%
2016,5141,Hillary Clinton,Donald J. Trump,1549,21.11%,5382,73.33%
2016,5143,Hillary Clinton,Donald J. Trump,33366,40.76%,41476,50.67%
2016,5145,Hillary Clinton,Donald J. Trump,5170,18.46%,21077,75.28%
2016,5147,Hillary Clinton,Donald J. Trump,1118,43.49%,1347,52.39%
2016,5149,Hillary Clinton,Donald J. Trump,1480,22.98%,4608,71.56%
2016,6001,Hillary Clinton,Donald J. Trump,514842,78.06%,95922,14.54%
2016,6003,Hillary Clinton,Donald J. Trump,334,55.48%,217,36.05%
2016,6005,Hillary Clinton,Donald J. Trump,6004,33.42%,10485,58.37%
2016,6007,Hillary Clinton,Donald J. Trump,41567,42.85%,45144,46.54%
2016,6009,Hillary Clinton,Donald J. Trump,7944,33.76%,13511,57.42%
2016,6011,Hillary Clinton,Donald J. Trump,2661,39.73%,3551,53.02%
2016,6013,Hillary Clinton,Donald J. Trump,319287,67.50%,115956,24.51%
2016,6015,Hillary Clinton,Donald J. Trump,3485,36.46%,5134,53.71%
2016,6017,Hillary Clinton,Donald J. Trump,36404,38.26%,49247,51.76%
2016,6019,Hillary Clinton,Donald J. Trump,141341,49.24%,124049,43.21%
2016,6021,Hillary Clinton,Donald J. Trump,3065,32.37%,5788,61.12%
2016,6023,Hillary Clinton,Donald J. Trump,33200,55.32%,18373,30.61%
2016,6025,Hillary Clinton,Donald J. Trump,32667,67.93%,12704,26.42%
2016,6027,Hillary Clinton,Donald J. Trump,3155,38.57%,4248,51.94%
2016,6029,Hillary Clinton,Donald J. Trump,98689,40.42%,129584,53.07%
2016,6031,Hillary Clinton,Donald J. Trump,13617,39.69%,18093,52.73%
2016,6033,Hillary Clinton,Donald J. Trump,11500,46.59%,10603,42.95%
2016,6035,Hillary Clinton,Donald J. Trump,2224,20.79%,7574,70.79%
2016,6037,Hillary Clinton,Donald J. Trump,2464364,71.76%,769743,22.41%
2016,6039,Hillary Clinton,Donald J. Trump,17029,39.14%,23357,53.69%
2016,6041,Hillary Clinton,Donald J. Trump,108707,77.27%,21771,15.48%
2016,6043,Hillary Clinton,Donald J. Trump,3122,35.17%,5185,58.41%
2016,6045,Hillary Clinton,Donald J. Trump,22079,58.23%,10888,28.72%
2016,6047,Hillary Clinton,Donald J. Trump,37317,52.47%,28725,40.39%
2016,6049,Hillary Clinton,Donald J. Trump,877,22.82%,2696,70.15%
2016,6051,Hillary Clinton,Donald J. Trump,2773,52.51%,2111,39.97%
2016,6053,Hillary Clinton,Donald J. Trump,89088,66.78%,34895,26.16%
2016,6055,Hillary Clinton,Donald J. Trump,39199,63.87%,17411,28.37%
2016,6057,Hillary Clinton,Donald J. Trump,26053,47.43%,23365,42.53%
2016,6059,Hillary Clinton,Donald J. Trump,609961,50.94%,507148,42.35%
2016,6061,Hillary Clinton,Donald J. Trump,73509,39.52%,95138,51.14%
2016,6063,Hillary Clinton,Donald J. Trump,3459,35.12%,5420,55.03%
2016,6065,Hillary Clinton,Donald J. Trump,373695,49.73%,333243,44.35%
2016,6067,Hillary Clinton,Donald J. Trump,326023,57.98%,189789,33.75%
2016,6069,Hillary Clinton,Donald J. Trump,12521,56.60%,7841,35.44%
2016,6071,Hillary Clinton,Donald J. Trump,340833,52.12%,271240,41.48%
2016,6073,Hillary Clinton,Donald J. Trump,735476,56.07%,477766,36.43%
2016,6075,Hillary Clinton,Donald J. Trump,345084,84.47%,37688,9.23%
2016,6077,Hillary Clinton,Donald J. Trump,121124,53.36%,88936,39.18%
2016,6079,Hillary Clinton,Donald J. Trump,67107,48.91%,56164,40.94%
2016,6081,Hillary Clinton,Donald J. Trump,237882,75.67%,57929,18.43%
2016,6083,Hillary Clinton,Donald J. Trump,107142,59.90%,56365,31.51%
2016,6085,Hillary Clinton,Donald J. Trump,511684,72.71%,144826,20.58%
2016,6087,Hillary Clinton,Donald J. Trump,95249,73.26%,22438,17.26%
2016,6089,Hillary Clinton,Donald J. Trump,22301,27.52%,51778,63.90%
2016,6091,Hillary Clinton,Donald J. Trump,601,32.35%,1048,56.40%
2016,6093,Hillary Clinton,Donald J. Trump,7234,35.30%,11341,55.34%
2016,6095,Hillary Clinton,Donald J. Trump,102360,60.87%,51920,30.88%
2016,6097,Hillary Clinton,Donald J. Trump,160435,68.77%,51408,22.03%
2016,6099,Hillary Clinton,Donald J. Trump,81647,46.81%,78494,45.01%
2016,6101,Hillary Clinton,Donald J. Trump,13076,38.66%,18176,53.74%
2016,6103,Hillary Clinton,Donald J. Trump,6809,28.48%,15494,64.81%
2016,6105,Hillary Clinton,Donald J. Trump,2214,38.28%,2812,48.62%
2016,6107,Hillary Clinton,Donald J. Trump,47585,41.70%,58299,51.09%
2016,6109,Hillary Clinton,Donald J. Trump,9123,35.23%,14551,56.20%
2016,6111,Hillary Clinton,Donald J. Trump,194402,54.59%,132323,37.16%
2016,6113,Hillary Clinton,Donald J. Trump,54752,66.70%,20739,25.26%
