"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"64",2016,1127,"Hillary Clinton","Donald J. Trump",4497,"15.26%",24266,"82.34%"
"65",2016,1129,"Hillary Clinton","Donald J. Trump",2374,"27.82%",6042,"70.81%"
"66",2016,1131,"Hillary Clinton","Donald J. Trump",4339,"70.86%",1742,"28.45%"
"67",2016,1133,"Hillary Clinton","Donald J. Trump",872,"8.46%",9228,"89.48%"
"68",2016,4001,"Hillary Clinton","Donald J. Trump",17083,"61.76%",8240,"29.79%"
"69",2016,4003,"Hillary Clinton","Donald J. Trump",17450,"34.89%",28092,"56.17%"
"70",2016,4005,"Hillary Clinton","Donald J. Trump",32404,"54.20%",21108,"35.31%"
"71",2016,4007,"Hillary Clinton","Donald J. Trump",7003,"31.10%",14182,"62.99%"
"72",2016,4009,"Hillary Clinton","Donald J. Trump",3301,"26.88%",8025,"65.34%"
"73",2016,4011,"Hillary Clinton","Donald J. Trump",1092,"33.09%",1892,"57.33%"
"74",2016,4012,"Hillary Clinton","Donald J. Trump",1575,"26.47%",4003,"67.27%"
"75",2016,4013,"Hillary Clinton","Donald J. Trump",702907,"44.83%",747361,"47.67%"
"76",2016,4015,"Hillary Clinton","Donald J. Trump",17455,"21.83%",58282,"72.90%"
"77",2016,4017,"Hillary Clinton","Donald J. Trump",16459,"40.85%",20577,"51.07%"
"78",2016,4019,"Hillary Clinton","Donald J. Trump",224661,"53.28%",167428,"39.71%"
"79",2016,4021,"Hillary Clinton","Donald J. Trump",47892,"36.97%",72819,"56.21%"
"80",2016,4023,"Hillary Clinton","Donald J. Trump",11690,"71.14%",3897,"23.71%"
"81",2016,4025,"Hillary Clinton","Donald J. Trump",35590,"31.10%",71330,"62.32%"
"82",2016,4027,"Hillary Clinton","Donald J. Trump",24605,"46.42%",25165,"47.47%"
"83",2016,5001,"Hillary Clinton","Donald J. Trump",1939,"31.21%",3826,"61.59%"
"84",2016,5003,"Hillary Clinton","Donald J. Trump",2408,"29.79%",5338,"66.04%"
"85",2016,5005,"Hillary Clinton","Donald J. Trump",4169,"21.09%",14682,"74.28%"
"86",2016,5007,"Hillary Clinton","Donald J. Trump",28005,"28.92%",60871,"62.87%"
"87",2016,5009,"Hillary Clinton","Donald J. Trump",2926,"18.16%",12235,"75.94%"
"88",2016,5011,"Hillary Clinton","Donald J. Trump",1317,"36.05%",2164,"59.24%"
"89",2016,5013,"Hillary Clinton","Donald J. Trump",639,"28.16%",1556,"68.58%"
"90",2016,5015,"Hillary Clinton","Donald J. Trump",3342,"31.07%",6786,"63.08%"
"91",2016,5017,"Hillary Clinton","Donald J. Trump",2350,"56.27%",1716,"41.09%"
"92",2016,5019,"Hillary Clinton","Donald J. Trump",3620,"42.46%",4404,"51.65%"
"93",2016,5021,"Hillary Clinton","Donald J. Trump",1199,"23.06%",3781,"72.71%"
"94",2016,5023,"Hillary Clinton","Donald J. Trump",2101,"17.39%",9458,"78.26%"
"95",2016,5025,"Hillary Clinton","Donald J. Trump",723,"21.56%",2462,"73.40%"
"96",2016,5027,"Hillary Clinton","Donald J. Trump",3140,"35.33%",5456,"61.39%"
"97",2016,5029,"Hillary Clinton","Donald J. Trump",2656,"33.51%",4849,"61.17%"
"98",2016,5031,"Hillary Clinton","Donald J. Trump",10538,"29.62%",22892,"64.35%"
"99",2016,5033,"Hillary Clinton","Donald J. Trump",4488,"19.99%",16686,"74.33%"
"100",2016,5035,"Hillary Clinton","Donald J. Trump",8410,"52.72%",6964,"43.66%"
"101",2016,5037,"Hillary Clinton","Donald J. Trump",1999,"29.08%",4584,"66.69%"
"102",2016,5039,"Hillary Clinton","Donald J. Trump",1165,"42.04%",1509,"54.46%"
"103",2016,5041,"Hillary Clinton","Donald J. Trump",2228,"52.34%",1919,"45.08%"
"104",2016,5043,"Hillary Clinton","Donald J. Trump",2365,"35.86%",3968,"60.17%"
"105",2016,5045,"Hillary Clinton","Donald J. Trump",14629,"30.78%",29346,"61.75%"
"106",2016,5047,"Hillary Clinton","Donald J. Trump",1376,"20.32%",5039,"74.43%"
"107",2016,5049,"Hillary Clinton","Donald J. Trump",1067,"22.36%",3471,"72.74%"
"108",2016,5051,"Hillary Clinton","Donald J. Trump",12311,"30.17%",26087,"63.93%"
"109",2016,5053,"Hillary Clinton","Donald J. Trump",1373,"18.44%",5725,"76.90%"
"110",2016,5055,"Hillary Clinton","Donald J. Trump",3071,"21.03%",10720,"73.42%"
"111",2016,5057,"Hillary Clinton","Donald J. Trump",2377,"33.72%",4401,"62.43%"
"112",2016,5059,"Hillary Clinton","Donald J. Trump",3149,"26.36%",8172,"68.42%"
"113",2016,5061,"Hillary Clinton","Donald J. Trump",1351,"28.90%",3157,"67.54%"
"114",2016,5063,"Hillary Clinton","Donald J. Trump",2881,"21.16%",9936,"72.98%"
"115",2016,5065,"Hillary Clinton","Donald J. Trump",1113,"20.43%",4042,"74.19%"
"116",2016,5067,"Hillary Clinton","Donald J. Trump",1583,"30.70%",3267,"63.36%"
"117",2016,5069,"Hillary Clinton","Donald J. Trump",15772,"60.91%",9250,"35.72%"
"118",2016,5071,"Hillary Clinton","Donald J. Trump",2427,"26.64%",6091,"66.85%"
